pdf_page,book_page,number,cargo_name,parent_group,cas,marpol,fosfa,niop,eu,rel_density,solubility_c,boil_point_c,melt_point_c,viscosity_mpas,flash_point_c,static_accumulator,is_group_heading,raw_details
524,521,1,ACETICACID,,64-19-7,Z,A,L1,A,"1,05",COMPLETE,118,17,"1,31",40,,no,"CAS: 64-19-7 | MARPOL: Z | FOSFA: A | NIOP: L1 | EU: A REL. DENSITY: 1,05 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 118 MELT. POINT [°C]: 17 | VISCOSITY [MPA*S]: 1,31 | FLASH POINT [°C]: 40"
524,521,2,ACETICACIDANHYDRIDE,,108-24-7,Z,A,L2,A,"1,082",COMPLETE,140,-73,"0,971",48,,no,"CAS: 108-24-7 | MARPOL: Z | FOSFA: A | NIOP: L2 | EU: A REL. DENSITY: 1,082 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 140 MELT. POINT [°C]: -73 | VISCOSITY [MPA*S]: 0,971 | FLASH POINT [°C]: 48"
524,521,3,ACETONE,,67-64-1,Z,A,L2,A,"0,791",COMPLETE,56,-95,"0,337",-17,,no,"CAS: 67-64-1 | MARPOL: Z | FOSFA: A |NIOP: L2 | EU: A REL. DENSITY: 0,791 SOLUBILITY [°C]: COMPLETE BOIL. POINT [°C]: 56 MELT. POINT [°C]: -95 | VISCOSITY [MPA*S]: 0,337 | FLASH POINT [°C]: -17"
524,521,4,ACETONECYANOHYDRIN,,75-86-5,Y,B,,,"0,932",COMPLETE,119,-20,"3,9",74,,no,"CAS: 75-86-5 | MARPOL: Y | FOSFA: B REL. DENSITY: 0,932 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 119 MELT. POINT [°C]: -20 | VISCOSITY [MPA*S]: 3,9 | FLASH POINT [°C]: 74"
524,521,5,ACETONITRILE,,75-05-8,Z,,,,"0,782",COMPLETE,81,-45,"0,375",2,,no,"CAS: 75-05-8 | MARPOL: Z REL. DENSITY: 0,782 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 81 MELT. POINT [°C]: -45 | VISCOSITY [MPA*S]: 0,375 | FLASH POINT [°C]: 2"
524,521,6,"ACID OIL MIXTURE FROM SOYABEAN, CORN (MAIZE) AND SUNFLOWER OIL",,,Y,,,,"0,93 (0,9-0,95)",INSOLUBLE,,20,49 (@30°C),,,no,"REFINING MARPOL: Y REL. DENSITY: 0,93 (0,9-0,95) | SOLUBILITY [°C]: INSOLUBLE MELT. POINT [°C]: 20 | VISCOSITY [MPA*S]: 49 (@30°C)"
525,522,7,ACRYLICACID,,79-10-7,Y,B,,,"1,05",COMPLETE,141,13,"1,2",49,,no,"CAS: 79-10-7 | MARPOL: Y | FOSFA: B REL. DENSITY: 1,05 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 141 MELT. POINT [°C]: 13 | VISCOSITY [MPA*S]: 1,2 | FLASH POINT [°C]: 49"
525,522,8,ACRYLONITRILE,,107-13-1,Y,B,,,"0,806","7,3",77,-82,"0,4",0,,no,"CAS: 107-13-1 MARPOL: Y FOSFA: B REL. DENSITY: 0,806 | SOLUBILITY [°C]: 7,3 | BOIL. POINT [°C]: 77 MELT. POINT [°C]: -82 | VISCOSITY [MPA*S]: 0,4 | FLASH POINT [°C]: 0"
525,522,9,ADIPONITRILE,,111-69-3,Z,B,,,"0,97","4,5",93,1,3,93,,no,"CAS: 111-69-3 MARPOL: Z | FOSFA: B REL. DENSITY: 0,97 | SOLUBILITY [°C]: 4,5 | BOIL. POINT [°C]: 93 MELT. POINT [°C]: 1 | VISCOSITY [MPA‘S]: 3 | FLASH POINT [°C]: 93"
525,522,10,ALCOHOL ETHOXYLATES,,,,,,,,,,,,,,yes,
525,522,10,ALCOHOL (C12-C15) POLY (20+) ETHOXYLATE,ALCOHOL ETHOXYLATES,,Y,,,,"0,925",COMPLETE,,6,"17,58",204,,no,"MARPOL: Y REL. DENSITY: 0,925 | SOLUBILITY [°C]: COMPLETE MELT. POINT [°C]: 6 | VISCOSITY [MPA*S]: 17,58 | FLASH POINT [°C]: 204"
525,522,10,ALCOHOL (C12-C15) POLY (7-19) ETHOXYLATES,ALCOHOL ETHOXYLATES,68551-13-3,Y,,,,"0,958 (@ 50 °C)",10,,21,21 (@ 50 DEG C),198,,no,"CAS: 68551-13-3 | MARPOL: Y REL. DENSITY: 0,958 (@ 50 °C) | SOLUBILITY [°C]: 10 MELT. POINT [°C]: 21 | VISCOSITY [MPA*S]: 21 (@ 50 DEG C) | FLASH POINT [°C]: 198"
525,522,10,ALCOHOL(C12-C15)POLY(1-6)ETHOXYLATES,ALCOHOL ETHOXYLATES,,Y,,,,"0,87",SLIGHT,250,11,26,140,,no,"MARPOL: Y REL. DENSITY: 0,87 | SOLUBILITY [°C]: SLIGHT | BOIL. POINT [°C]: 250 MELT. POINT [°C]: 11 | VISCOSITY [MPA*S]: 26 | FLASH POINT [°C]: 140"
525,522,10,NEODOL 23-1 (SHELL),ALCOHOL ETHOXYLATES,66455-14-9,Y,,,,"0,873 (@40°C)","0,5",254,1,35,148,,no,"CAS: 66455-14-9 MARPOL: Y REL. DENSITY: 0,873 (@40°C) | SOLUBILITY [°C]: 0,5 | BOIL. POINT [°C]: 254 MELT. POINT [°C]: 1 |VISCOSITY [MPA*S]: 35 | FLASH POINT [°C]: 148"
526,523,10,NEODOL 23-2 (SHELL),ALCOHOL ETHOXYLATES,66455-14-9,Y,,,,"0,892 (@40°C)","0,5",,2,35,148,,no,"CAS: 66455-14-9 MARPOL: Y REL. DENSITY: 0,892 (@40°C) | SOLUBILITY [°C]: 0,5 MELT. POINT [°C]: 2 | VISCOSITY [MPA*S]: 35 | FLASH POINT [°C]: 148"
526,523,10,NEODOL 23-3 (SHELL),ALCOHOL ETHOXYLATES,66455-14-9,Y,,,,"0,903 (@40°C)",SLIGHT,,0,"14,45 (@40°C)",154,,no,"CAS: 66455-14-9 MARPOL: Y REL. DENSITY: 0,903 (@40°C) | SOLUBILITY [°C]: SLIGHT MELT. POINT [°C]: 0 | VISCOSITY [MPA*S]: 14,45 (@40°C) | FLASH POINT [°C]: 154"
526,523,10,NEODOL 23-5 (SHELL),ALCOHOL ETHOXYLATES,66455-14-9,Y,,,,"0,922 (@25°C)",SLIGHT,255,"1,1",,152,,no,"CAS: 66455-14-9 MARPOL: Y REL. DENSITY: 0,922 (@25°C) | SOLUBILITY [°C]: SLIGHT | BOIL. POINT [°C]: 255 MELT. POINT [°C]: 1,1 | FLASH POINT [°C]: 152"
526,523,10,NEODOL 23-6.5 (SHELL),ALCOHOL ETHOXYLATES,66455-14-9,Y,,,,"0,969 (@40°C)",COMPLETE,,18,75,172,,no,"CAS: 66455-14-9 MARPOL: Y REL. DENSITY: 0,969 (@40°C) | SOLUBILITY [°C]: COMPLETE MELT. POINT [°C]: 18 | VISCOSITY [MPA*S]: 75 | FLASH POINT [°C]: 172"
526,523,10,NEODOL 25-3 (SHELL),ALCOHOL ETHOXYLATES,68131-39-5,Y,,,,"0,921 (@25°C)",INSOLUBLE,260,5,50,157,,no,"CAS: 68131-39-5 | MARPOL: Y REL. DENSITY: 0,921 (@25°C) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 260 MELT. POINT [°C]: 5 | VISCOSITY [MPA*S]: 50 | FLASH POINT [°C]: 157"
526,523,10,NEODOL 25-7 (SHELL),ALCOHOL ETHOXYLATES,68131-39-5,Y,,,,"0,97 (@40°C)",COMPLETE,260,25,33 (@40°C),186,,no,"CAS: 68131-39-5 | MARPOL: Y REL. DENSITY: 0,97 (@40°C) | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 260 MELT. POINT [°C]: 25 | VISCOSITY [MPA*S]: 33 (@40°C) | FLASH POINT [°C]: 186"
526,523,10,NEODOL 25-9 (SHELL),ALCOHOL ETHOXYLATES,68131-39-5,Y,,,,"0,992 (@40°C)",COMPLETE,,25,50 (@38°C),190,,no,"CAS: 68131-39-5 | MARPOL: Y REL. DENSITY: 0,992 (@40°C) | SOLUBILITY [°C]: COMPLETE MELT. POINT [°C]: 25 | VISCOSITY [MPA*S]: 50 (@38°C) | FLASH POINT [°C]: 190"
526,523,10,NEODOL 45-7 (SHELL),ALCOHOL ETHOXYLATES,68951-67-7,Y,,,,"0,969 (@40°C)",SLIGHT,260,9,50 (@38°C),190,,no,"CAS: 68951-67-7 | MARPOL: Y REL. DENSITY: 0,969 (@40°C) | SOLUBILITY [°C]: SLIGHT | BOIL. POINT [°C]: 260 MELT. POINT [°C]: 9 | VISCOSITY [MPA*S]: 50 (@38°C) | FLASH POINT [°C]: 190"
527,524,11,ALCOHOL MIXTURES (C13 AND ABOVE),,,Y,A,,,"0,8 (APROX.)",INSOLUBLE,200,35,"10,8",135,,no,"MARPOL: Y | FOSFA: A REL. DENSITY: 0,8 (APROX.) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 200 MELT. POINT [°C]: 35 | VISCOSITY [MPA*S]: 10,8 | FLASH POINT [°C]: 135"
527,524,12,ALKYLBENZENESULPHONICACIDS,,27176-87-0,Y,,,,1,COMPLETE,315,10,1600 (APROX.),200,,no,CAS: 27176-87-0 | MARPOL: Y REL. DENSITY: 1 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 315 MELT. POINT [°C]: 10 | VISCOSITY [MPA*S]: 1600 (APROX.) | FLASH POINT [°C]: 200
527,524,13,ALLYLALCOHOL,,107-18-6,Y,,,,"0,85",COMPLETE,97,-129,"1,4",21,,no,"CAS: 107-18-6 MARPOL: Y REL. DENSITY: 0,85 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 97 MELT. POINT [°C]: -129 | VISCOSITY [MPA*S]: 1,4 | FLASH POINT [°C]: 21"
527,524,14,ALLYLCHLORIDE,,107-05-1,Y,,,,"0,94","0,3",45,-135,"0,33",-29,YES,no,"CAS: 107-05-1 | MARPOL: Y REL. DENSITY: 0,94 | SOLUBILITY [°C]: 0,3 | BOIL. POINT [°C]: 45 MELT. POINT [°C]: -135 | VISCOSITY [MPA*S]: 0,33 | FLASH POINT [°C]: -29 | STATIC ACCUMULATOR: YES"
527,524,15,AMINOETHYLETHANOLAMINE,,111^1-1,Z,,,,"1,03",COMPLETE,244,-45,135,127,,no,"CAS: 111^1-1 | MARPOL: Z REL. DENSITY: 1,03 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 244 MELT. POINT [°C]: -45 | VISCOSITY [MPA*S]: 135 | FLASH POINT [°C]: 127"
527,524,16,AMMONIA AQUEOUS (28% OR LESS),,1336-21-6,Y,,,,"0,9",AQ.SOL.,38,-58,,,,no,"CAS: 1336-21-6 | MARPOL: Y REL. DENSITY: 0,9 | SOLUBILITY [°C]: AQ.SOL. | BOIL. POINT [°C]: 38 MELT. POINT [°C]: -58"
527,524,17,AMYLACETATES (MIXED ISOMERS),,628-63-7,Y,,,,"0,9","0,2",121,-50,,21 TOP MENU 524,,no,"CAS: 628-63-7 | MARPOL: Y REL. DENSITY: 0,9 | SOLUBILITY [°C]: 0,2 | BOIL. POINT [°C]: 121 MELT. POINT [°C]: -50 | FLASH POINT [°C]: 21 TOP MENU 524"
528,525,18,AMYLALCOHOLS,,,,,,,,,,,,,,yes,
528,525,18,ISOAMYL ALCOHOL,AMYLALCOHOLS,123-51-3,Z,,,,"0,81","2,7",132,-117,"3,86",43,,no,"CAS: 123-51-3 | MARPOL: Z REL. DENSITY: 0,81 | SOLUBILITY [°C]: 2,7 | BOIL. POINT [°C]: 132 MELT. POINT [°C]: -117 | VISCOSITY [MPA*S]: 3,86 | FLASH POINT [°C]: 43"
528,525,18,N-AMYLALCOHOL,AMYLALCOHOLS,71-41-0,Z,,,,"0,815","2,2",130,-79,,46,,no,"CAS: 71-41-0 | MARPOL: Z REL. DENSITY: 0,815 | SOLUBILITY [°C]: 2,2 | BOIL. POINT [°C]: 130 MELT. POINT [°C]: -79 | FLASH POINT [°C]: 46"
528,525,18,SEC-AMYL ALCOHOL,AMYLALCOHOLS,6032-29-7,Z,,,,"0,82","16,6",119,-50,,19,,no,"CAS: 6032-29-7 MARPOL: Z REL. DENSITY: 0,82 | SOLUBILITY [°C]: 16,6 | BOIL. POINT [°C]: 119 MELT. POINT [°C]: -50 | FLASH POINT [°C]: 19"
528,525,18,TERT-AMYLALCOHOL,AMYLALCOHOLS,75-85-4,Z,,,,"0,81",12,102,-8,,20,YES,no,"CAS: 75-85-4 MARPOL: Z REL. DENSITY: 0,81 | SOLUBILITY [°C]: 12 | BOIL. POINT [°C]: 102 MELT. POINT [°C]: -8 | FLASH POINT [°C]: 20 | STATIC ACCUMULATOR: YES"
528,525,19,ANILINE,,62-53-3,Y,B,,,"1,022",3,184,-6,"4,3",70,,no,"CAS: 62-53-3 MARPOL: Y | FOSFA: B REL. DENSITY: 1,022 | SOLUBILITY [°C]: 3 | BOIL. POINT [°C]: 184 MELT. POINT [°C]: -6 | VISCOSITY [MPA*S]: 4,3 | FLASH POINT [°C]: 70"
528,525,20,AUTOMOTIVE GASOIL ULS,,68334-30-5,A1,,,,"0,82",INSOLUBLE,160,0,2 (@ 40 ° C),60,YES,no,"CAS: 68334-30-5 MARPOL: A1 REL. DENSITY: 0,82 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 160 MELT. POINT [°C]: 0 | VISCOSITY [MPA*S]: 2 (@ 40 ° C) | FLASH POINT [°C]: 60 STATIC ACCUMULATOR: YES"
528,525,21,AVIATION GASOLINE (LEADED),,,A1,B,,,"0,71 (0.65 - 0.75)",INSOLUBLE,27,-82,"0,7 (@40°C)",-46,YES,no,"MARPOL: A1 | FOSFA: B REL. DENSITY: 0,71 (0.65 - 0.75) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 27 MELT. POINT [°C]: -82 VISCOSITY [MPA*S]: 0,7 (@40°C) | FLASH POINT [°C]: -46 | STATIC ACCUMULATOR: YES"
529,526,22,AVIATION JET FUEL,,8008-20-6,A1,,,,"0,8",INSOLUBLE,140,-46,4 (APPROX.),38,YES,no,"CAS: 8008-20-6 | MARPOL: A1 REL. DENSITY: 0,8 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 140 MELT. POINT [°C]: -46 | VISCOSITY [MPA*S]: 4 (APPROX.) | FLASH POINT [°C]: 38 | STATIC ACCUMULATOR: YES"
529,526,23,BASE LUBRICATING OILS,,,,,,,,,,,,,,yes,
529,526,23,BASE OILSN 100,BASE LUBRICATING OILS,,A1,,,,"0,86 (@15°C)",INSOLUBLE,370,-18,30,200,YES,no,"MARPOL: A1 REL. DENSITY: 0,86 (@15°C) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 370 MELT. POINT [°C]: -18 | VISCOSITY [MPA*S]: 30 | FLASH POINT [°C]: 200 | STATIC ACCUMULATOR: YES"
529,526,23,BASE OIL SN 500,BASE LUBRICATING OILS,,A1,,,,"0,881 (@15°C)",INSOLUBLE,,-6,95 (@ 40°C),237,YES,no,"MARPOL: A1 REL. DENSITY: 0,881 (@15°C) | SOLUBILITY [°C]: INSOLUBLE MELT. POINT [°C]: -6 | VISCOSITY [MPA*S]: 95 (@ 40°C) | FLASH POINT [°C]: 237 | STATIC ACCUMULATOR: YES"
529,526,23,BRIGHT STOCK 150,BASE LUBRICATING OILS,,A1,,,,"0,894 (@15°C)",INSOLUBLE,280,-9,450 (@ 40°C),298,YES,no,"MARPOL: A1 REL. DENSITY: 0,894 (@15°C) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 280 MELT. POINT [°C]: -9 | VISCOSITY [MPA*S]: 450 (@ 40°C) | FLASH POINT [°C]: 298 | STATIC ACCUMULATOR: YES"
529,526,23,MINERAL BASE OIL (PARAFFINIC),BASE LUBRICATING OILS,,A1,,,,"0,93 (APROX.)",INSOLUBLE,150,,,,YES,no,"MARPOL: A1 REL. DENSITY: 0,93 (APROX.) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 150 STATIC ACCUMULATOR: YES"
529,526,24,BENZENE,,71-43-2,Y,,,,"0,87","0,2",80,"5,5","0,6",-11,YES,no,"CAS: 71-43-2 | MARPOL: Y REL. DENSITY: 0,87 | SOLUBILITY [°C]: 0,2 | BOIL. POINT [°C]: 80 MELT. POINT [°C]: 5,5 | VISCOSITY [MPA*S]: 0,6 | FLASH POINT [°C]: -11 | STATIC ACCUMULATOR: YES"
530,527,25,BENZENE HEART CUT,,91723-50-1,Y,,,,"0,84",SLIGHT,80,-20,"0,5",10,YES,no,"CAS: 91723-50-1 MARPOL: Y REL. DENSITY: 0,84 | SOLUBILITY [°C]: SLIGHT | BOIL. POINT [°C]: 80 MELT. POINT [°C]: -20 | VISCOSITY [MPA*S]: 0,5 FLASH POINT [°C]: 10 | STATIC ACCUMULATOR: YES"
530,527,26,BENZYLACETATE,,140-11-4,Y,,,,"1,1","0,31",214,-51,,102,,no,"CAS: 140-11-4 | MARPOL: Y REL. DENSITY: 1,1 | SOLUBILITY [°C]: 0,31 | BOIL. POINT [°C]: 214 MELT. POINT [°C]: -51 | FLASH POINT [°C]: 102"
530,527,27,BENZYLALCOHOL,,100-51-6,Y,A,L2,A,"1,05","3,5",205,-15,8,93,,no,"CAS: 100-51-6 | MARPOL: Y | FOSFA: A | NIOP: L2 | EU: A REL. DENSITY: 1,05 | SOLUBILITY [°C]: 3,5 | BOIL. POINT [°C]: 205 MELT. POINT [°C]: -15 | VISCOSITY [MPA*S]: 8 | FLASH POINT [°C]: 93"
530,527,28,BENZYLCHLORIDE,,100^4-7,Y,,,,"1,1",INSOLUBLE,179,-43,"1,38",60,,no,"CAS: 100^4-7 | MARPOL: Y REL. DENSITY: 1,1 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 179 MELT. POINT [°C]: -43 | VISCOSITY [MPA*S]: 1,38 | FLASH POINT [°C]: 60"
530,527,29,BETA-PROPIOLACTONE,,57-57-8,Y,,,,"1,15",67,155,-33,,74,,no,"CAS: 57-57-8 | MARPOL: Y REL. DENSITY: 1,15 | SOLUBILITY [°C]: 67 | BOIL. POINT [°C]: 155 MELT. POINT [°C]: -33 | FLASH POINT [°C]: 74"
530,527,30,BIODIESEL B10,,68476-34-6,A1,,,,"0,81",INSOLUBLE,149,0,2 (@ 40 0 C),52,YES,no,"CAS: 68476-34-6 MARPOL: A1 REL. DENSITY: 0,81 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 149 MELT. POINT [°C]: 0 | VISCOSITY [MPA*S]: 2 (@ 40 0 C) | FLASH POINT [°C]: 52 | STATIC ACCUMULATOR: YES"
530,527,31,BIODIESEL B20,,68476-34-6,A1,,,,"0,82",INSOLUBLE,180,0,2 (@ 40 0 C),61,YES,no,"CAS: 68476-34-6 | MARPOL: A1 REL. DENSITY: 0,82 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 180 MELT. POINT [°C]: 0 | VISCOSITY [MPA*S]: 2 (@ 40 0 C) | FLASH POINT [°C]: 61 | STATIC ACCUMULATOR: YES"
530,527,32,BIODIESEL B5,,68476-34-6,A1,,,,"0,81",INSOLUBLE,149,0,2 (@ 40 ° C),52,YES,no,"CAS: 68476-34-6 | MARPOL: A1 REL. DENSITY: 0,81 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 149 MELT. POINT [°C]: 0 | VISCOSITY [MPA*S]: 2 (@ 40 ° C) | FLASH POINT [°C]: 52 | STATIC ACCUMULATOR: YES"
531,528,33,BIOFUEL BLEND OF DIESEUGASOIL WITH FAME > 25% AND < 99%,,67784-80-9,X,,,,"0,88",INSOLUBLE,200,"17,5",,100,,no,"CAS: 67784-80-9 | MARPOL: X REL. DENSITY: 0,88 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 200 MELT. POINT [°C]: 17,5 | FLASH POINT [°C]: 100"
531,528,34,"2,3-BUTANEDIOL",,513-85-9,Z,A,,,"1,01",COMPLETE,180,19,,85,,no,"CAS: 513-85-9 MARPOL: Z | FOSFA: A REL. DENSITY: 1,01 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 180 MELT. POINT [°C]: 19 | FLASH POINT [°C]: 85"
531,528,35,"1,3-BUTANEDIOL",,107-88-0,Z,A,,A,"1,01",COMPLETE,204,-50,96,109,,no,"CAS: 107-88-0 | MARPOL: Z | FOSFA: A | EU: A REL. DENSITY: 1,01 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 204 MELT. POINT [°C]: -50 | VISCOSITY [MPA*S]: 96 | FLASH POINT [°C]: 109"
531,528,36,"1,4-BUTANEDIOL",,110-63-5,Z,A,L2,A,"1,02",COMPLETE,230,20,,121,,no,"CAS: 110-63-5 MARPOL: Z | FOSFA: A NIOP: L2 | EU: A REL. DENSITY: 1,02 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 230 MELT. POINT [°C]: 20 | FLASH POINT [°C]: 121"
531,528,37,BUTYLACETATES,,,,,,,,,,,,,,yes,
531,528,37,ISOBUTYLACETATE,BUTYLACETATES,110-19-0,Y,A,L2,A,"0,883",SLIGHT,117,-99,"0,76",18,,no,"CAS: 110-19-0 | MARPOL: Y | FOSFA: A | NIOP: L2 | EU: A REL. DENSITY: 0,883 | SOLUBILITY [°C]: SLIGHT | BOIL. POINT [°C]: 117 MELT. POINT [°C]: -99 | VISCOSITY [MPA*S]: 0,76 | FLASH POINT [°C]: 18"
531,528,37,NORM-BUTYLACETATE,BUTYLACETATES,123-86-4,Y,A,L2,A,"0,88","0,7",126,-74,"0,73",22,,no,"CAS: 123-86-4 | MARPOL: Y | FOSFA: A NIOP: L2 EU: A REL. DENSITY: 0,88 | SOLUBILITY [°C]: 0,7 BOIL. POINT [°C]: 126 MELT. POINT [°C]: -74 | VISCOSITY [MPA*S]: 0,73 | FLASH POINT [°C]: 22"
531,528,37,SEC-BUTYLACETATE,BUTYLACETATES,105-46-4,Y,A,L2,A,"0,87","0,7",112,-74,"0,7",16,,no,"CAS: 105-46-4 | MARPOL: Y | FOSFA: A | NIOP: L2 | EU: A REL. DENSITY: 0,87 | SOLUBILITY [°C]: 0,7 BOIL. POINT [°C]: 112 MELT. POINT [°C]: -74 | VISCOSITY [MPA*S]: 0,7 | FLASH POINT [°C]: 16"
532,529,37,TERT-BUTYLACETATE,BUTYLACETATES,540-88-5,Y,A,L2,A,"0,8817","0,8",98,,,15,,no,"CAS: 540-88-5 | MARPOL: Y | FOSFA: A | NIOP: L2 | EU: A REL. DENSITY: 0,8817 | SOLUBILITY [°C]: 0,8 | BOIL. POINT [°C]: 98 FLASH POINT [°C]: 15"
532,529,38,BUTYLBENZENES (MIXED ISOMERS),,104-51-8,X,,,,"0,9",INSOLUBLE,169,-51,,34,YES,no,"CAS: 104-51-8 | MARPOL: X REL. DENSITY: 0,9 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 169 MELT. POINT [°C]: -51 | FLASH POINT [°C]: 34 | STATIC ACCUMULATOR: YES"
532,529,39,"1,2-BUTYLENEOXIDE",,106-88-7,Y,,,,"0,83",7,63,-150,"0,4",-15,YES,no,"CAS: 106-88-7 MARPOL: Y REL. DENSITY: 0,83 | SOLUBILITY [°C]: 7 | BOIL. POINT [°C]: 63 MELT. POINT [°C]: -150 | VISCOSITY [MPA*S]: 0,4 | FLASH POINT [°C]: -15 | STATIC ACCUMULATOR: YES"
532,529,40,BUTYRICACID,,107-92-6,Y,A,L2,A,"0,96",COMPLETE,164,-5,"1,65",72 c,,no,"CAS: 107-92-6 MARPOL: Y FOSFA: A NIOP: L2 | EU: A REL. DENSITY: 0,96 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 164 MELT. POINT [°C]: -5 | VISCOSITY [MPA*S]: 1,65 | FLASH POINT [°C]: 72 c"
532,529,41,CALCIUMLIGNOSULFONATE,,8061-52-7,Z,A,L2,,"1,27",100,100,0,3000 (MAXIMUM),,,no,"CAS: 8061-52-7 MARPOL: Z | FOSFA: A NIOP: L2 REL. DENSITY: 1,27 | SOLUBILITY [°C]: 100 | BOIL. POINT [°C]: 100 MELT. POINT [°C]: 0 | VISCOSITY [MPA*S]: 3000 (MAXIMUM)"
532,529,42,CAPROLACTAM,,105-60-2,Z,,,,"1,02 (@ 77 °C)",82,270,69,9,110,,no,"CAS: 105-60-2 | MARPOL: Z REL. DENSITY: 1,02 (@ 77 °C) | SOLUBILITY [°C]: 82 | BOIL. POINT [°C]: 270 MELT. POINT [°C]: 69 | VISCOSITY [MPA*S]: 9 | FLASH POINT [°C]: 110"
532,529,43,CARBON BLACK FEEDSTOCK,,64742-90-1,A1,B,,,"1,05",UNKNOWN,170,-20,215 (@40°C),62,,no,"CAS: 64742-90-1 | MARPOL: A1 | FOSFA: B REL. DENSITY: 1,05 | SOLUBILITY [°C]: UNKNOWN | BOIL. POINT [°C]: 170 MELT. POINT [°C]: -20 | VISCOSITY [MPA*S]: 215 (@40°C) | FLASH POINT [°C]: 62"
533,530,44,CARBONTETRACHLORIDE,,56-23-5,Y,B,,,"1,594",INSOLUBLE,77,-23,"0,952",,,no,"CAS: 56-23-5 | MARPOL: Y | FOSFA: B REL. DENSITY: 1,594 | SOLUBILITY [°C]: INSOLUBLE | BOIL POINT [°C]: 77 MELT. POINT [°C]: -23 | VISCOSITY [MPA*S]: 0,952"
533,530,45,CASHEWNUTSHELLOIL,,8007-24-7,Y,B,,,"0,95 (@30 °C)",INSOLUBLE,180,25,400,100,,no,"CAS: 8007-24-7 MARPOL: Y | FOSFA: B REL. DENSITY: 0,95 (@30 °C) | SOLUBILITY [°C]: INSOLUBLE BOIL. POINT [°C]: 180 MELT. POINT [°C]: 25 | VISCOSITY [MPA*S]: 400 | FLASH POINT [°C]: 100"
533,530,46,CASTOROIL,,8001-79-4,Y,A,L1,A,"0,96",INSOLUBLE,265,-10,900 (625 to 1040),250,,no,"CAS: 8001-79-4 MARPOL: Y | FOSFA: A NIOP: L1 | EU: A REL. DENSITY: 0,96 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 265 MELT. POINT [°C]: -10 | VISCOSITY [MPA*S]: 900 (625 to 1040) | FLASH POINT [°C]: 250"
533,530,47,CHLOROACETICACID LIQUID (80% OR LESS),,79-11-8,Y,,,,"1,5 (MINIMUM)",COMPLETE,189,61,,126,,no,"CAS: 79-11-8 | MARPOL: Y REL. DENSITY: 1,5 (MINIMUM) | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 189 MELT. POINT [°C]: 61 | FLASH POINT [°C]: 126"
533,530,48,CHLOROBENZENE,,108-90-7,Y,,,,"1,1",INSOLUBLE,132,-45,"0,8",29,,no,"CAS: 108-90-7 | MARPOL: Y REL. DENSITY: 1,1 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 132 MELT. POINT [°C]: -45 | VISCOSITY [MPA*S]: 0,8 | FLASH POINT [°C]: 29"
533,530,49,CHLOROFORM,,67-66-3,Y,,,,"1,488","0,8",61,-64,"0,57",,,no,"CAS: 67-66-3 MARPOL: Y REL. DENSITY: 1,488 | SOLUBILITY [°C]: 0,8 | BOIL. POINT [°C]: 61 MELT. POINT [°C]: -64 | VISCOSITY [MPA*S]: 0,57"
533,530,50,2-CHLOROPROPIONICACID,,598-78-7,Z,,,,"1,3",COMPLETE,185,-12,,107,,no,"CAS: 598-78-7 | MARPOL: Z REL. DENSITY: 1,3 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 185 MELT. POINT [°C]: -12 | FLASH POINT [°C]: 107"
