pdf_page,book_page,number,cargo_name,parent_group,cas,marpol,fosfa,niop,eu,rel_density,solubility_c,boil_point_c,melt_point_c,viscosity_mpas,flash_point_c,static_accumulator,is_group_heading,raw_details
594,591,383,TERT-BUTANOL,,75-65-0,Z,,,,"0,78",COMPLETE,83,26,3,11,,no,"CAS: 75-65-0 | MARPOL: Z REL. DENSITY: 0,78 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 83 MELT. POINT [°C]: 26 | VISCOSITY [MPA*S]: 3 | FLASH POINT [°C]: 11"
594,591,384,TERT-BUTYLACRYLATE,,1663-39-4,Y,B,,,"0,885","0,2",121,-69,,10,YES,no,"CAS: 1663-39-4 | MARPOL: Y | FOSFA: B REL. DENSITY: 0,885 | SOLUBILITY [°C]: 0,2 | BOIL. POINT [°C]: 121 MELT. POINT [°C]: -69 | FLASH POINT [°C]: 10 | STATIC ACCUMULATOR: YES"
594,591,385,"1,1,2,2,-TETRACHLOROETHANE",,79-34-5,Y,,,,"1,6","0,3",147,-43,"1,84",,,no,"CAS: 79-34-5 | MARPOL: Y REL. DENSITY: 1,6 | SOLUBILITY [°C]: 0,3 | BOIL. POINT [°C]: 147 MELT. POINT [°C]: -43 | VISCOSITY [MPA*S]: 1,84"
595,592,386,TETRAETHYLENEGLYCOL,,112-60-7,Z,,,,"1,125",COMPLETE,327,-4,"44,6",174,,no,"CAS: 112-60-7 | MARPOL: Z REL. DENSITY: 1,125 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 327 MELT. POINT [°C]: -4 | VISCOSITY [MPA*S]: 44,6 | FLASH POINT [°C]: 174"
595,592,387,TETRAETHYLENEPENTAMINE,,112-57-2,Y,,,,1,COMPLETE,330,-30,,163,,no,CAS: 112-57-2 | MARPOL: Y REL. DENSITY: 1 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 330 MELT. POINT [°C]: -30 | FLASH POINT [°C]: 163
595,592,388,TETRAHYDROFURAN,,109-99-9,Z,,,,"0,887",COMPLETE,66,-108,"0,456 (@25°C)",-22,YES,no,"CAS: 109-99-9 | MARPOL: Z REL. DENSITY: 0,887 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 66 MELT. POINT [°C]: -108 | VISCOSITY [MPA*S]: 0,456 (@25°C) | FLASH POINT [°C]: -22 | STATIC ACCUMULATOR: YES"
595,592,389,"1,2,3,4-TETRAHYDRONAPHTHALENE",,119-64-2,Y,,,,"0,97",INSOLUBLE,208,-30,2,71,,no,"CAS: 119-64-2 | MARPOL: Y REL. DENSITY: 0,97 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 208 MELT. POINT [°C]: -30 | VISCOSITY [MPA*S]: 2 |FLASH POINT [°C]: 71"
595,592,390,TOLUENE,,108-88-3,Y,,,,"0,87 (@15°C)",INSOLUBLE,111,-95,"0,59",4,YES,no,"CAS: 108-88-3 | MARPOL: Y REL. DENSITY: 0,87 (@15°C) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 111 MELT. POINT [°C]: -95 | VISCOSITY [MPA*S]: 0,59 | FLASH POINT [°C]: 4 | STATIC ACCUMULATOR: YES"
595,592,391,TOLUENEDIISOCYANATE,,584-84-9,Y,B,,,"1,22",REACTION,247,"12,5","5,5",127,,no,"CAS: 584-84-9 | MARPOL: Y | FOSFA: B REL. DENSITY: 1,22 | SOLUBILITY [°C]: REACTION | BOIL. POINT [°C]: 247 MELT. POINT [°C]: 12,5 | VISCOSITY [MPA*S]: 5,5 | FLASH POINT [°C]: 127"
595,592,392,TRIBUTYLPHOSPHATE,,126-73-8,Y,,,,"0,98","0,4",290,-80,"3,4",146,,no,"CAS: 126-73-8 | MARPOL: Y REL. DENSITY: 0,98 | SOLUBILITY [°C]: 0,4 | BOIL. POINT [°C]: 290 MELT. POINT [°C]: -80 | VISCOSITY [MPA*S]: 3,4 | FLASH POINT [°C]: 146"
595,592,393,"1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE",,76-13-1,Y,,,,"1,56","0,028",47,-35,,,,no,"CAS: 76-13-1 | MARPOL: Y REL. DENSITY: 1,56 | SOLUBILITY [°C]: 0,028 | BOIL. POINT [°C]: 47 MELT. POINT [°C]: -35"
596,593,394,"1,2,4-TRICHLOROBENZENE",,120-82-1,X,,,,"1,45",INSOLUBLE,213,17,,110,,no,"CAS: 120-82-1 | MARPOL: X REL. DENSITY: 1,45 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 213 MELT. POINT [°C]: 17 | FLASH POINT [°C]: 110"
